Annotation	Gene	Input
GO:0005144_interleukin-13 receptor binding	Il13	1	
GO:0004896_cytokine receptor activity	Il13ra1	1	
GO:0016515_interleukin-13 receptor activity	Il13ra1	1	
GO:0004896_cytokine receptor activity	Il13ra2	1	
GO:0005125_cytokine activity	Il15	1	
GO:0005125_cytokine activity	Il15	1	
GO:0005126_cytokine receptor binding	Il15	1	
GO:0005125_cytokine activity	Il16	1	
GO:0005515_protein binding	Il16	1	
GO:0042609_CD4 receptor binding	Il16	1	
GO:0005125_cytokine activity	Il17a	1	
GO:0005102_receptor binding	Il17ra	1	
GO:0030368_interleukin-17 receptor activity	Il17ra	1	
GO:0005125_cytokine activity	Il18	1	
GO:0005125_cytokine activity	Il18	1	
GO:0004908_interleukin-1 receptor activity	Il18rap	1	
GO:0005125_cytokine activity	Il1a	1	
GO:0005125_cytokine activity	Il1a	1	
GO:0005149_interleukin-1 receptor binding	Il1a	1	
GO:0005507_copper ion binding	Il1a	1	
GO:0005125_cytokine activity	Il1b	1	
GO:0005125_cytokine activity	Il1b	1	
GO:0005149_interleukin-1 receptor binding	Il1b	1	
GO:0019904_protein domain specific binding	Il1b	1	
GO:0002020_protease binding	Il1r1	1	
GO:0004871_signal transducer activity	Il1r1	1	
GO:0004908_interleukin-1 receptor activity	Il1r1	1	
GO:0004908_interleukin-1 receptor activity	Il1r1	1	
GO:0004908_interleukin-1 receptor activity	Il1r1	1	
GO:0004909_interleukin-1, Type I, activating receptor activity	Il1r1	1	
GO:0005161_platelet-derived growth factor receptor binding	Il1r1	1	
GO:0005515_protein binding	Il1r1	1	
GO:0019966_interleukin-1 binding	Il1r1	1	
GO:0035255_ionotropic glutamate receptor binding	Il1r1	1	
GO:0004908_interleukin-1 receptor activity	Il1r2	1	
GO:0004910_interleukin-1, Type II, blocking receptor activity	Il1r2	1	
GO:0019966_interleukin-1 binding	Il1r2	1	
GO:0000166_nucleotide binding	Irak1	1	
GO:0004672_protein kinase activity	Irak1	1	
GO:0004672_protein kinase activity	Irak1	1	
GO:0004674_protein serine/threonine kinase activity	Irak1	1	
GO:0004674_protein serine/threonine kinase activity	Irak1	1	
GO:0005149_interleukin-1 receptor binding	Irak1	1	
GO:0005515_protein binding	Irak1	1	
GO:0005524_ATP binding	Irak1	1	
GO:0016301_kinase activity	Irak1	1	
GO:0016740_transferase activity	Irak1	1	
GO:0031072_heat shock protein binding	Irak1	1	
GO:0042803_protein homodimerization activity	Irak1	1	
GO:0046982_protein heterodimerization activity	Irak1	1	
GO:0002114_interleukin-33 receptor activity	Il1rap	1	
GO:0004871_signal transducer activity	Il1rap	1	
GO:0004908_interleukin-1 receptor activity	Il1rap	1	
GO:0005149_interleukin-1 receptor binding	Il1rap	1	
GO:0005515_protein binding	Il1rap	1	
GO:1990782_protein tyrosine kinase binding	Il1rap	1	
GO:0005125_cytokine activity	Il1rn	1	
GO:0005149_interleukin-1 receptor binding	Il1rn	1	
GO:0005149_interleukin-1 receptor binding	Il1rn	1	
GO:0005150_interleukin-1, Type I receptor binding	Il1rn	1	
GO:0005151_interleukin-1, Type II receptor binding	Il1rn	1	
GO:0005152_interleukin-1 receptor antagonist activity	Il1rn	1	
GO:0045352_interleukin-1 Type I receptor antagonist activity	Il1rn	1	
GO:0045353_interleukin-1 Type II receptor antagonist activity	Il1rn	1	
GO:0005515_protein binding	Il18r1	1	
GO:0042008_interleukin-18 receptor activity	Il18r1	1	
GO:0005125_cytokine activity	Il2	1	
GO:0005125_cytokine activity	Il2	1	
GO:0005125_cytokine activity	Il2	1	
GO:0005134_interleukin-2 receptor binding	Il2	1	
GO:0005134_interleukin-2 receptor binding	Il2	1	
GO:0008083_growth factor activity	Il2	1	
GO:0030246_carbohydrate binding	Il2	1	
GO:0031851_kappa-type opioid receptor binding	Il2	1	
GO:0043208_glycosphingolipid binding	Il2	1	
GO:0004911_interleukin-2 receptor activity	Il2ra	1	
GO:0004911_interleukin-2 receptor activity	Il2ra	1	
GO:0005515_protein binding	Il2ra	1	
GO:0008144_drug binding	Il2ra	1	
GO:0019976_interleukin-2 binding	Il2ra	1	
GO:0004896_cytokine receptor activity	Il2rb	1	
GO:0004911_interleukin-2 receptor activity	Il2rb	1	
GO:0019976_interleukin-2 binding	Il2rb	1	
GO:0019976_interleukin-2 binding	Il2rb	1	
GO:0004896_cytokine receptor activity	Il2rg	1	
GO:0019976_interleukin-2 binding	Il2rg	1	
GO:0005125_cytokine activity	Il3	1	
GO:0005125_cytokine activity	Il3	1	
GO:0005135_interleukin-3 receptor binding	Il3	1	
GO:0005135_interleukin-3 receptor binding	Il3	1	
GO:0005149_interleukin-1 receptor binding	Il3	1	
GO:0008083_growth factor activity	Il3	1	
GO:0004896_cytokine receptor activity	Il3ra	1	
GO:0004912_interleukin-3 receptor activity	Il3ra	1	
GO:0019978_interleukin-3 binding	Il3ra	1	
GO:0005125_cytokine activity	Il4	1	
GO:0005126_cytokine receptor binding	Il4	1	
GO:0005136_interleukin-4 receptor binding	Il4	1	
GO:0008083_growth factor activity	Il4	1	
GO:0004896_cytokine receptor activity	Il4ra	1	
GO:0005515_protein binding	Il4ra	1	
GO:0005125_cytokine activity	Il5	1	
GO:0005125_cytokine activity	Il5	1	
GO:0005137_interleukin-5 receptor binding	Il5	1	
GO:0008083_growth factor activity	Il5	1	
GO:0004896_cytokine receptor activity	Il5ra	1	
GO:0005102_receptor binding	Il6	1	
GO:0005125_cytokine activity	Il6	1	
GO:0005125_cytokine activity	Il6	1	
GO:0005138_interleukin-6 receptor binding	Il6	1	
GO:0005138_interleukin-6 receptor binding	Il6	1	
GO:0005138_interleukin-6 receptor binding	Il6	1	
GO:0005515_protein binding	Il6	1	
GO:0008083_growth factor activity	Il6	1	
GO:0004896_cytokine receptor activity	Il6ra	1	
GO:0004897_ciliary neurotrophic factor receptor activity	Il6ra	1	
GO:0004915_interleukin-6 receptor activity	Il6ra	1	
GO:0004915_interleukin-6 receptor activity	Il6ra	1	
GO:0004915_interleukin-6 receptor activity	Il6ra	1	
GO:0005138_interleukin-6 receptor binding	Il6ra	1	
GO:0019899_enzyme binding	Il6ra	1	
GO:0019981_interleukin-6 binding	Il6ra	1	
GO:0019981_interleukin-6 binding	Il6ra	1	
GO:0042803_protein homodimerization activity	Il6ra	1	
GO:0070119_ciliary neurotrophic factor binding	Il6ra	1	
GO:0004896_cytokine receptor activity	Il6st	1	
GO:0004897_ciliary neurotrophic factor receptor activity	Il6st	1	
GO:0004915_interleukin-6 receptor activity	Il6st	1	
GO:0004921_interleukin-11 receptor activity	Il6st	1	
GO:0004923_leukemia inhibitory factor receptor activity	Il6st	1	
GO:0004924_oncostatin-M receptor activity	Il6st	1	
GO:0005127_ciliary neurotrophic factor receptor binding	Il6st	1	
GO:0005138_interleukin-6 receptor binding	Il6st	1	
GO:0005515_protein binding	Il6st	1	
GO:0019838_growth factor binding	Il6st	1	
GO:0019838_growth factor binding	Il6st	1	
GO:0019970_interleukin-11 binding	Il6st	1	
GO:0019981_interleukin-6 binding	Il6st	1	
GO:0046982_protein heterodimerization activity	Il6st	1	
GO:0005125_cytokine activity	Il7	1	
GO:0005126_cytokine receptor binding	Il7	1	
GO:0005139_interleukin-7 receptor binding	Il7	1	
GO:0008083_growth factor activity	Il7	1	
GO:0004896_cytokine receptor activity	Il7r	1	
GO:0005125_cytokine activity	Il9	1	
GO:0005126_cytokine receptor binding	Il9	1	
GO:0005140_interleukin-9 receptor binding	Il9	1	
GO:0008083_growth factor activity	Il9	1	
GO:0004896_cytokine receptor activity	Il9r	1	
GO:0004919_interleukin-9 receptor activity	Il9r	1	
GO:0019983_interleukin-9 binding	Il9r	1	
GO:0003677_DNA binding	Ilf3	1	
GO:0003677_DNA binding	Ilf3	1	
GO:0003723_RNA binding	Ilf3	1	
GO:0003725_double-stranded RNA binding	Ilf3	1	
GO:0019899_enzyme binding	Ilf3	1	
GO:0000166_nucleotide binding	Ilk	1	
GO:0004672_protein kinase activity	Ilk	1	
GO:0004672_protein kinase activity	Ilk	1	
GO:0004674_protein serine/threonine kinase activity	Ilk	1	
GO:0004871_signal transducer activity	Ilk	1	
GO:0004871_signal transducer activity	Ilk	1	
GO:0005178_integrin binding	Ilk	1	
GO:0005515_protein binding	Ilk	1	
GO:0005524_ATP binding	Ilk	1	
GO:0016301_kinase activity	Ilk	1	
GO:0016740_transferase activity	Ilk	1	
GO:0017124_SH3 domain binding	Ilk	1	
GO:0019901_protein kinase binding	Ilk	1	
GO:0005215_transporter activity	Fabp6	1	
GO:0005504_fatty acid binding	Fabp6	1	
GO:0008289_lipid binding	Fabp6	1	
GO:0032052_bile acid binding	Fabp6	1	
GO:0000166_nucleotide binding	Gimap1	1	
GO:0005525_GTP binding	Gimap1	1	
GO:0003779_actin binding	Impact	1	
GO:0005515_protein binding	Impact	1	
GO:0043022_ribosome binding	Impact	1	
GO:0003723_RNA binding	Kpnb1	1	
GO:0005515_protein binding	Kpnb1	1	
GO:0008139_nuclear localization sequence binding	Kpnb1	1	
GO:0008536_Ran GTPase binding	Kpnb1	1	
GO:0008565_protein transporter activity	Kpnb1	1	
GO:0019894_kinesin binding	Kpnb1	1	
GO:0019899_enzyme binding	Kpnb1	1	
GO:0019904_protein domain specific binding	Kpnb1	1	
GO:0032403_protein complex binding	Kpnb1	1	
GO:0051879_Hsp90 protein binding	Kpnb1	1	
GO:0005102_receptor binding	Inha	1	
GO:0005125_cytokine activity	Inha	1	
GO:0005160_transforming growth factor beta receptor binding	Inha	1	
GO:0005179_hormone activity	Inha	1	
GO:0008083_growth factor activity	Inha	1	
GO:0034711_inhibin binding	Inha	1	
GO:0046982_protein heterodimerization activity	Inha	1	
GO:0005102_receptor binding	Inhba	1	
GO:0005125_cytokine activity	Inhba	1	
GO:0005125_cytokine activity	Inhba	1	
GO:0005160_transforming growth factor beta receptor binding	Inhba	1	
GO:0005179_hormone activity	Inhba	1	
GO:0008083_growth factor activity	Inhba	1	
GO:0017046_peptide hormone binding	Inhba	1	
GO:0034711_inhibin binding	Inhba	1	
GO:0042802_identical protein binding	Inhba	1	
GO:0046982_protein heterodimerization activity	Inhba	1	
GO:0070699_type II activin receptor binding	Inhba	1	
GO:0005125_cytokine activity	Inhbb	1	
GO:0005160_transforming growth factor beta receptor binding	Inhbb	1	
GO:0005179_hormone activity	Inhbb	1	
GO:0008083_growth factor activity	Inhbb	1	
GO:0034711_inhibin binding	Inhbb	1	
GO:0042803_protein homodimerization activity	Inhbb	1	
GO:0046982_protein heterodimerization activity	Inhbb	1	
GO:0005125_cytokine activity	Inhbc	1	
GO:0005160_transforming growth factor beta receptor binding	Inhbc	1	
GO:0005179_hormone activity	Inhbc	1	
GO:0008083_growth factor activity	Inhbc	1	
GO:0005125_cytokine activity	Inhbe	1	
GO:0005160_transforming growth factor beta receptor binding	Inhbe	1	
GO:0005179_hormone activity	Inhbe	1	
GO:0008083_growth factor activity	Inhbe	1	
GO:0008022_protein C-terminus binding	Cep250	1	
GO:0019901_protein kinase binding	Cep250	1	
GO:0019904_protein domain specific binding	Cep250	1	
GO:0004441_inositol-1,4-bisphosphate 1-phosphatase activity	Inpp1	1	
GO:0016787_hydrolase activity	Inpp1	1	
GO:0046872_metal ion binding	Inpp1	1	
GO:0004439_phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	Inpp5b	1	
GO:0004439_phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	Inpp5b	1	
GO:0004445_inositol-polyphosphate 5-phosphatase activity	Inpp5b	1	
GO:0016787_hydrolase activity	Inpp5b	1	
GO:0046872_metal ion binding	Inpp5b	1	
GO:0052658_inositol-1,4,5-trisphosphate 5-phosphatase activity	Inpp5b	1	
GO:0052658_inositol-1,4,5-trisphosphate 5-phosphatase activity	Inpp5b	1	
GO:0004445_inositol-polyphosphate 5-phosphatase activity	Inpp5d	1	
GO:0005515_protein binding	Inpp5d	1	
GO:0016787_hydrolase activity	Inpp5d	1	
GO:0017124_SH3 domain binding	Inpp5d	1	
GO:0030487_inositol-4,5-bisphosphate 5-phosphatase activity	Inpp5d	1	
GO:0034594_phosphatidylinositol trisphosphate phosphatase activity	Inpp5d	1	
GO:0051425_PTB domain binding	Inpp5d	1	
GO:0003779_actin binding	Inppl1	1	
GO:0004445_inositol-polyphosphate 5-phosphatase activity	Inppl1	1	
GO:0005515_protein binding	Inppl1	1	
GO:0005547_phosphatidylinositol-3,4,5-trisphosphate binding	Inppl1	1	
GO:0016787_hydrolase activity	Inppl1	1	
GO:0017124_SH3 domain binding	Inppl1	1	
GO:0042169_SH2 domain binding	Inppl1	1	
GO:0002020_protease binding	Ins1	1	
GO:0005158_insulin receptor binding	Ins1	1	
GO:0005179_hormone activity	Ins1	1	
GO:0051087_chaperone binding	Ins1	1	
GO:0002020_protease binding	Ins2	1	
GO:0005158_insulin receptor binding	Ins2	1	
GO:0005159_insulin-like growth factor receptor binding	Ins2	1	
GO:0005179_hormone activity	Ins2	1	
GO:0032403_protein complex binding	Ins2	1	
GO:0042802_identical protein binding	Ins2	1	
GO:0001664_G-protein coupled receptor binding	Insl3	1	
GO:0002020_protease binding	Insl3	1	
GO:0005179_hormone activity	Insl3	1	
GO:0000166_nucleotide binding	Insr	1	
GO:0004672_protein kinase activity	Insr	1	
GO:0004713_protein tyrosine kinase activity	Insr	1	
GO:0004714_transmembrane receptor protein tyrosine kinase activity	Insr	1	
GO:0004716_signal transducer, downstream of receptor, with protein tyrosine kinase activity	Insr	1	
GO:0005009_insulin-activated receptor activity	Insr	1	
GO:0005159_insulin-like growth factor receptor binding	Insr	1	
GO:0005515_protein binding	Insr	1	
GO:0005524_ATP binding	Insr	1	
GO:0005525_GTP binding	Insr	1	
GO:0016301_kinase activity	Insr	1	
GO:0016740_transferase activity	Insr	1	
GO:0019901_protein kinase binding	Insr	1	
GO:0019903_protein phosphatase binding	Insr	1	
GO:0019904_protein domain specific binding	Insr	1	
GO:0031405_lipoic acid binding	Insr	1	
GO:0031994_insulin-like growth factor I binding	Insr	1	
GO:0031995_insulin-like growth factor II binding	Insr	1	
GO:0032403_protein complex binding	Insr	1	
GO:0043423_3-phosphoinositide-dependent protein kinase binding	Insr	1	
GO:0043548_phosphatidylinositol 3-kinase binding	Insr	1	
GO:0043559_insulin binding	Insr	1	
GO:0043560_insulin receptor substrate binding	Insr	1	
GO:0051425_PTB domain binding	Insr	1	
GO:0003723_RNA binding	Eif3e	1	
GO:0003743_translation initiation factor activity	Eif3e	1	
GO:0003743_translation initiation factor activity	Eif3e	1	
GO:0045296_cadherin binding	Eif3e	1	
GO:0047485_protein N-terminus binding	Eif3e	1	
GO:0005515_protein binding	Invs	1	
GO:0005516_calmodulin binding	Invs	1	
GO:0003779_actin binding	Ipp	1	
GO:0004842_ubiquitin-protein transferase activity	Ipp	1	
GO:0003674_molecular_function	Ipw	1	
GO:0000975_regulatory region DNA binding	Irf1	1	
GO:0000978_RNA polymerase II core promoter proximal region sequence-specific DNA binding	Irf1	1	
GO:0001077_transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	Irf1	1	
GO:0003677_DNA binding	Irf1	1	
GO:0003700_transcription factor activity, sequence-specific DNA binding	Irf1	1	
GO:0003700_transcription factor activity, sequence-specific DNA binding	Irf1	1	
GO:0005515_protein binding	Irf1	1	
GO:0043565_sequence-specific DNA binding	Irf1	1	
GO:0043565_sequence-specific DNA binding	Irf1	1	
GO:0000975_regulatory region DNA binding	Irf2	1	
GO:0000977_RNA polymerase II regulatory region sequence-specific DNA binding	Irf2	1	
GO:0001228_transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	Irf2	1	
GO:0003677_DNA binding	Irf2	1	
GO:0003700_transcription factor activity, sequence-specific DNA binding	Irf2	1	
GO:0000975_regulatory region DNA binding	Irf4	1	
GO:0000978_RNA polymerase II core promoter proximal region sequence-specific DNA binding	Irf4	1	
GO:0001077_transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	Irf4	1	
GO:0003677_DNA binding	Irf4	1	
GO:0003700_transcription factor activity, sequence-specific DNA binding	Irf4	1	
GO:0005515_protein binding	Irf4	1	
GO:0016279_protein-lysine N-methyltransferase activity	Irf4	1	
GO:0043565_sequence-specific DNA binding	Irf4	1	
GO:0016829_lyase activity	Acod1	1	
GO:0047547_2-methylcitrate dehydratase activity	Acod1	1	
GO:0047613_aconitate decarboxylase activity	Acod1	1	
GO:0047613_aconitate decarboxylase activity	Acod1	1	
GO:0001784_phosphotyrosine binding	Irs1	1	
GO:0004871_signal transducer activity	Irs1	1	
GO:0005068_transmembrane receptor protein tyrosine kinase adaptor activity	Irs1	1	
GO:0005080_protein kinase C binding	Irs1	1	
GO:0005158_insulin receptor binding	Irs1	1	
GO:0005158_insulin receptor binding	Irs1	1	
GO:0005159_insulin-like growth factor receptor binding	Irs1	1	
GO:0005515_protein binding	Irs1	1	
GO:0019901_protein kinase binding	Irs1	1	
GO:0019901_protein kinase binding	Irs1	1	
GO:0019904_protein domain specific binding	Irs1	1	
GO:0042169_SH2 domain binding	Irs1	1	
GO:0043548_phosphatidylinositol 3-kinase binding	Irs1	1	
GO:0043548_phosphatidylinositol 3-kinase binding	Irs1	1	
GO:0004871_signal transducer activity	Irs3	1	
GO:0005158_insulin receptor binding	Irs3	1	
GO:0043548_phosphatidylinositol 3-kinase binding	Irs3	1	
GO:0004871_signal transducer activity	Irs4	1	
GO:0005158_insulin receptor binding	Irs4	1	
GO:0005515_protein binding	Irs4	1	
GO:0019904_protein domain specific binding	Irs4	1	
GO:0043548_phosphatidylinositol 3-kinase binding	Irs4	1	
GO:0003677_DNA binding	Irx1	1	
GO:0043565_sequence-specific DNA binding	Irx1	1	
GO:0003677_DNA binding	Irx2	1	
GO:0043565_sequence-specific DNA binding	Irx2	1	
GO:0003677_DNA binding	Irx3	1	
GO:0043565_sequence-specific DNA binding	Irx3	1	
GO:0000975_regulatory region DNA binding	Irf9	1	
GO:0001047_core promoter binding	Irf9	1	
GO:0003677_DNA binding	Irf9	1	
GO:0003700_transcription factor activity, sequence-specific DNA binding	Irf9	1	
GO:0005515_protein binding	Irf9	1	
GO:0000978_RNA polymerase II core promoter proximal region sequence-specific DNA binding	Isl1	1	
GO:0001077_transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	Isl1	1	
GO:0001102_RNA polymerase II activating transcription factor binding	Isl1	1	
GO:0001105_RNA polymerase II transcription coactivator activity	Isl1	1	
GO:0001105_RNA polymerase II transcription coactivator activity	Isl1	1	
GO:0001158_enhancer sequence-specific DNA binding	Isl1	1	
GO:0003677_DNA binding	Isl1	1	
GO:0003682_chromatin binding	Isl1	1	
GO:0005515_protein binding	Isl1	1	
GO:0008270_zinc ion binding	Isl1	1	
GO:0016922_ligand-dependent nuclear receptor binding	Isl1	1	
GO:0030331_estrogen receptor binding	Isl1	1	
GO:0043425_bHLH transcription factor binding	Isl1	1	
GO:0043565_sequence-specific DNA binding	Isl1	1	
GO:0043565_sequence-specific DNA binding	Isl1	1	
GO:0046872_metal ion binding	Isl1	1	
GO:1990841_promoter-specific chromatin binding	Isl1	1	
GO:0004842_ubiquitin-protein transferase activity	Itch	1	
GO:0005515_protein binding	Itch	1	
GO:0016740_transferase activity	Itch	1	
GO:0016874_ligase activity	Itch	1	
GO:0043021_ribonucleoprotein complex binding	Itch	1	
GO:0045236_CXCR chemokine receptor binding	Itch	1	
GO:0061630_ubiquitin protein ligase activity	Itch	1	
GO:0061630_ubiquitin protein ligase activity	Itch	1	
GO:0005178_integrin binding	Itga2	1	
GO:0005518_collagen binding	Itga2	1	
GO:0032403_protein complex binding	Itga2	1	
GO:0038064_collagen receptor activity	Itga2	1	
GO:0043236_laminin binding	Itga2	1	
GO:0046872_metal ion binding	Itga2	1	
GO:0046982_protein heterodimerization activity	Itga2	1	
GO:0098639_collagen binding involved in cell-matrix adhesion	Itga2	1	
GO:0042802_identical protein binding	Itga2b	1	
GO:0046872_metal ion binding	Itga2b	1	
GO:0050840_extracellular matrix binding	Itga2b	1	
GO:0070051_fibrinogen binding	Itga2b	1	
GO:0001948_glycoprotein binding	Itga3	1	
GO:0001968_fibronectin binding	Itga3	1	
GO:0002020_protease binding	Itga3	1	
GO:0005178_integrin binding	Itga3	1	
GO:0005515_protein binding	Itga3	1	
GO:0005518_collagen binding	Itga3	1	
GO:0019904_protein domain specific binding	Itga3	1	
GO:0043236_laminin binding	Itga3	1	
GO:0046982_protein heterodimerization activity	Itga3	1	
GO:0001968_fibronectin binding	Itga4	1	
GO:0001968_fibronectin binding	Itga4	1	
GO:0003823_antigen binding	Itga4	1	
GO:0019960_C-X3-C chemokine binding	Itga4	1	
GO:0046872_metal ion binding	Itga4	1	
GO:0050839_cell adhesion molecule binding	Itga4	1	
GO:1990405_protein antigen binding	Itga4	1	
GO:0005154_epidermal growth factor receptor binding	Itga5	1	
GO:0005178_integrin binding	Itga5	1	
GO:0005178_integrin binding	Itga5	1	
GO:0005515_protein binding	Itga5	1	
GO:0046872_metal ion binding	Itga5	1	
GO:0050839_cell adhesion molecule binding	Itga5	1	
GO:0005178_integrin binding	Itga6	1	
GO:0005515_protein binding	Itga6	1	
GO:0031994_insulin-like growth factor I binding	Itga6	1	
GO:0032403_protein complex binding	Itga6	1	
GO:0038132_neuregulin binding	Itga6	1	
GO:0043236_laminin binding	Itga6	1	
GO:0045296_cadherin binding	Itga6	1	
GO:0046872_metal ion binding	Itga6	1	
GO:0005178_integrin binding	Itga7	1	
GO:0005515_protein binding	Itga7	1	
GO:0043236_laminin binding	Itga7	1	
GO:0043236_laminin binding	Itga7	1	
GO:0043236_laminin binding	Itga7	1	
GO:0046872_metal ion binding	Itga7	1	
GO:0046982_protein heterodimerization activity	Itga7	1	
GO:0050839_cell adhesion molecule binding	Itga7	1	
GO:0046872_metal ion binding	Itgae	1	
GO:0030369_ICAM-3 receptor activity	Itgal	1	
GO:0032403_protein complex binding	Itgal	1	
GO:0046872_metal ion binding	Itgal	1	
GO:0046982_protein heterodimerization activity	Itgal	1	
GO:0050839_cell adhesion molecule binding	Itgal	1	
GO:0001846_opsonin binding	Itgam	1	
GO:0001846_opsonin binding	Itgam	1	
GO:0001948_glycoprotein binding	Itgam	1	
GO:0008201_heparin binding	Itgam	1	
GO:0031072_heat shock protein binding	Itgam	1	
GO:0043395_heparan sulfate proteoglycan binding	Itgam	1	
GO:0046872_metal ion binding	Itgam	1	
GO:0046982_protein heterodimerization activity	Itgam	1	
GO:0001846_opsonin binding	Itgav	1	
GO:0001968_fibronectin binding	Itgav	1	
GO:0002020_protease binding	Itgav	1	
GO:0005080_protein kinase C binding	Itgav	1	
GO:0005102_receptor binding	Itgav	1	
GO:0005245_voltage-gated calcium channel activity	Itgav	1	
GO:0017134_fibroblast growth factor binding	Itgav	1	
GO:0019960_C-X3-C chemokine binding	Itgav	1	
GO:0031994_insulin-like growth factor I binding	Itgav	1	
GO:0038132_neuregulin binding	Itgav	1	
GO:0042277_peptide binding	Itgav	1	
GO:0046872_metal ion binding	Itgav	1	
GO:0046982_protein heterodimerization activity	Itgav	1	
GO:0050840_extracellular matrix binding	Itgav	1	
GO:1990430_extracellular matrix protein binding	Itgav	1	
GO:0046872_metal ion binding	Itgax	1	
GO:0001948_glycoprotein binding	Itgb1	1	
GO:0001968_fibronectin binding	Itgb1	1	
GO:0002020_protease binding	Itgb1	1	
GO:0003779_actin binding	Itgb1	1	
GO:0004872_receptor activity	Itgb1	1	
GO:0005102_receptor binding	Itgb1	1	
GO:0005178_integrin binding	Itgb1	1	
GO:0005178_integrin binding	Itgb1	1	
GO:0005515_protein binding	Itgb1	1	
GO:0005518_collagen binding	Itgb1	1	
GO:0019900_kinase binding	Itgb1	1	
GO:0019901_protein kinase binding	Itgb1	1	
GO:0019904_protein domain specific binding	Itgb1	1	
GO:0019960_C-X3-C chemokine binding	Itgb1	1	
GO:0032403_protein complex binding	Itgb1	1	
GO:0042277_peptide binding	Itgb1	1	
GO:0043236_laminin binding	Itgb1	1	
GO:0043236_laminin binding	Itgb1	1	
GO:0045296_cadherin binding	Itgb1	1	
GO:0046872_metal ion binding	Itgb1	1	
GO:0046982_protein heterodimerization activity	Itgb1	1	
GO:0050839_cell adhesion molecule binding	Itgb1	1	
GO:0051393_alpha-actinin binding	Itgb1	1	
GO:0098639_collagen binding involved in cell-matrix adhesion	Itgb1	1	
GO:0005092_GDP-dissociation inhibitor activity	Itgb1bp1	1	
GO:0005178_integrin binding	Itgb1bp1	1	
GO:0005515_protein binding	Itgb1bp1	1	
GO:0008022_protein C-terminus binding	Itgb1bp1	1	
GO:0008565_protein transporter activity	Itgb1bp1	1	
GO:0019900_kinase binding	Itgb1bp1	1	
GO:0019901_protein kinase binding	Itgb1bp1	1	
GO:0032403_protein complex binding	Itgb1bp1	1	
GO:0001948_glycoprotein binding	Itgb2	1	
GO:0004872_receptor activity	Itgb2	1	
GO:0005515_protein binding	Itgb2	1	
GO:0019901_protein kinase binding	Itgb2	1	
GO:0030369_ICAM-3 receptor activity	Itgb2	1	
GO:0031072_heat shock protein binding	Itgb2	1	
GO:0032403_protein complex binding	Itgb2	1	
GO:0046872_metal ion binding	Itgb2	1	
GO:0046982_protein heterodimerization activity	Itgb2	1	
GO:0050839_cell adhesion molecule binding	Itgb2	1	
GO:0050839_cell adhesion molecule binding	Itgb2	1	
GO:0001968_fibronectin binding	Itgb3	1	
GO:0002020_protease binding	Itgb3	1	
GO:0003756_protein disulfide isomerase activity	Itgb3	1	
GO:0004872_receptor activity	Itgb3	1	
GO:0005178_integrin binding	Itgb3	1	
GO:0005515_protein binding	Itgb3	1	
GO:0017134_fibroblast growth factor binding	Itgb3	1	
GO:0019899_enzyme binding	Itgb3	1	
GO:0019899_enzyme binding	Itgb3	1	
GO:0019960_C-X3-C chemokine binding	Itgb3	1	
GO:0031994_insulin-like growth factor I binding	Itgb3	1	
GO:0038132_neuregulin binding	Itgb3	1	
GO:0042277_peptide binding	Itgb3	1	
GO:0042802_identical protein binding	Itgb3	1	
GO:0043184_vascular endothelial growth factor receptor 2 binding	Itgb3	1	
GO:0050839_cell adhesion molecule binding	Itgb3	1	
GO:0050840_extracellular matrix binding	Itgb3	1	
GO:0070051_fibrinogen binding	Itgb3	1	
GO:0003743_translation initiation factor activity	Eif6	1	
GO:0043022_ribosome binding	Eif6	1	
GO:0043023_ribosomal large subunit binding	Eif6	1	
GO:0004872_receptor activity	Itgb5	1	
GO:0005102_receptor binding	Itgb5	1	
GO:0005178_integrin binding	Itgb5	1	
GO:0005515_protein binding	Itgb5	1	
GO:0004872_receptor activity	Itgb6	1	
GO:0005178_integrin binding	Itgb6	1	
GO:0004872_receptor activity	Itgb7	1	
GO:0050839_cell adhesion molecule binding	Itgb7	1	
GO:0005515_protein binding	Cd47	1	
GO:0070053_thrombospondin receptor activity	Cd47	1	
GO:0004867_serine-type endopeptidase inhibitor activity	Itih1	1	
GO:0030414_peptidase inhibitor activity	Itih1	1	
GO:0004867_serine-type endopeptidase inhibitor activity	Itih2	1	
GO:0030414_peptidase inhibitor activity	Itih2	1	
GO:0004867_serine-type endopeptidase inhibitor activity	Itih3	1	
GO:0030414_peptidase inhibitor activity	Itih3	1	
GO:0004867_serine-type endopeptidase inhibitor activity	Itih4	1	
GO:0005509_calcium ion binding	Itih4	1	
GO:0005515_protein binding	Itih4	1	
GO:0005540_hyaluronic acid binding	Itih4	1	
GO:0030414_peptidase inhibitor activity	Itih4	1	
GO:0000166_nucleotide binding	Itk	1	
GO:0004672_protein kinase activity	Itk	1	
GO:0004713_protein tyrosine kinase activity	Itk	1	
GO:0004715_non-membrane spanning protein tyrosine kinase activity	Itk	1	
GO:0004715_non-membrane spanning protein tyrosine kinase activity	Itk	1	
